PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
3;65;7;19;03065007_19_M;2014;1;;N;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;0.0;V;;N;0.0;V;;N;0.0;V;0.0;V;;N;0.0;V;;N;;N;;N;0.0;V;;N;;N;0.0;V;;N;;N
3;65;7;19;03065007_19_M;2014;2;;N;;N;;N;;N;;N;;N;;N;;N;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;0.0;V;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;0.0;N;0.0;N;0.0;N
3;65;7;19;03065007_19_M;2014;3;;N;;N;;N;;N;;N;;N;;N;;N;0.0;V;;N;;N;0.01;V;;N;;N;;N;0.01;V;0.01;V;0.01;V;;N;0.0;V;;N;0.0;V;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N
3;65;7;19;03065007_19_M;2014;4;;N;;N;;N;;N;0.0;V;;N;;N;0.0;V;;N;0.0;V;0.01;V;0.0;V;;N;0.0;V;;N;0.0;V;;N;;N;0.01;V;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
3;65;7;19;03065007_19_M;2014;5;;N;;N;;N;;N;;N;;N;;N;0.0;V;;N;0.0;V;0.0;V;;N;;N;0.0;V;;N;;N;;N;0.0;V;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;V
3;65;7;19;03065007_19_M;2014;6;;N;0.0;V;;N;;N;0.0;V;0.0;V;;N;;N;0.01;V;;N;;N;0.0;V;;N;0.01;V;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
3;65;7;19;03065007_19_M;2014;7;;N;;N;;N;;N;;N;;N;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;V;;N;0.01;V;;N;;N;0.0;V
3;65;7;19;03065007_19_M;2014;8;0.01;V;;N;0.0;V;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;V;;N;;N;;N;0.0;V;0.0;V;;N;;N
3;65;7;19;03065007_19_M;2014;9;;N;;N;0.0;V;0.0;V;0.0;V;0.0;V;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.01;V;;N;0.01;V;;N;0.0;V;;N;0.0;V;;N;0.0;V;0.0;V;;N;0.0;N
3;65;7;19;03065007_19_M;2014;10;;N;0.0;V;;N;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;V;0.0;V;;N;0.0;V;0.0;V;;N;0.01;V;;N;;N
3;65;7;19;03065007_19_M;2014;11;0.0;V;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.02;V;0.0;V;;N;0.0;V;;N;;N;0.01;V;0.01;V;;N;0.01;V;;N;;N;0.0;V;;N;;N;0.0;V;;N;0.0;N
3;65;7;19;03065007_19_M;2014;12;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.01;V;;N;0.0;V;;N;;N;0.01;V;0.0;V;;N;;N;0.0;V;;N;0.01;V;;N;;N;;N;;N;;N;;N;;N
46;131;2;19;46131002_19_M;2014;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;131;2;19;46131002_19_M;2014;2;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N;0.0;N;0.0;N
46;131;2;19;46131002_19_M;2014;3;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;131;2;19;46131002_19_M;2014;4;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;V;;N;0.0;N
46;131;2;19;46131002_19_M;2014;5;;N;0.0;V;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;;N;;N;0.0;V;;N;;N;;N;0.0;V;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;0.0;V
46;131;2;19;46131002_19_M;2014;6;;N;0.0;V;;N;;N;0.0;V;0.0;V;;N;;N;0.01;V;;N;;N;0.0;V;;N;0.0;V;;N;0.0;V;;N;;N;;N;0.0;V;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;0.0;V;;N;0.0;V;0.0;N
46;131;2;19;46131002_19_M;2014;7;;N;;N;0.0;V;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;131;2;19;46131002_19_M;2014;8;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;V;0.0;V;;N;;N
46;131;2;19;46131002_19_M;2014;9;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
